id,label
0oaxiPeayTOoE1t,VACHERIN
0pgTLEPZjEox8QL,RACLETTE
0pi7ln1qpkMOPXW,MAROILLES
0qP1OqI7m7wgGRs,BEAUFORT
0qbtSXlRy9E6gb2,EPOISSES
0qgRwOHfJxJEdh1,CHABICHOU
0qmyTZECstVSxXV,BEAUFORT
0qsxWpz5OIXk9jJ,MIMOLETTE
0r9uvg6xK8r3rIl,PECORINO
0s0fjV04EtYyAGd,CABECOU
0sR8cGoTNmnVDPk,RACLETTE
0sYYo0rW3AUYLcm,MORBIER
0t0NFsF72neEA6g,FROMAGE FRAIS
0thEfiJ9TTgYwgM,CABECOU
0u4j8afX0vZIKDh,MONT D’OR
0uCRKV1rN7QCvpT,CABECOU
0uDclCdQMhbKZ5u,FETA
0ujYh2dbnltSDlg,COMTÉ
0vP65bB81emIHoq,SAINT- FÉLICIEN
0vPkyBnSeax9QAQ,MOZZARELLA
0wG3GBCGstjnoXc,RACLETTE
0x0xcKIwKoRcKuA,FROMAGE FRAIS
0xbLihAG3B5i0pB,TÊTE DE MOINES
0y4XBywXeDjGFBB,STILTON
0ygj0nQMBT3pDgA,GRUYÈRE
10jPGSjavPSQ2lb,REBLOCHON
10ktYcPkR1zMvbk,FOURME D'AMBERT
11B7XGsn2CJq6M3,PECORINO
11FrvJMWaoOlQib,OSSAU- IRATY
11fNQaw6PWf3poI,MORBIER
11xReEBgscb4hpz,MOTHAIS
11yMrrBAHh7n5fc,BÛCHETTE DE CHÈVRE
122WkSiFYTJsTzc,MOZZARELLA
12W9tRFyh33jrjg,FOURME D'AMBERT
12hTLd2PamAqTeZ,BÛCHETTE DE CHÈVRE
12txwQEMUATBeKB,VACHERIN
13h5JhjrIH8wO9X,MIMOLETTE
14svOwFFMImQ3DO,COMTÉ
14tqwAHxKggAKR4,FOURME D'AMBERT
16MjA1AOcFYrXEF,POULIGNY SAINT- PIERRE
16P1Apbp7oiRDh5,BRIE DE MELUN
16okN7NxvCzaPfw,RACLETTE
18KrQ3FnaTERhWf,MAROILLES
18UWnTj6W0hZoMm,SAINT- FÉLICIEN
18at0nnc6XH64Qv,SAINT-NECTAIRE
19HTQPLsax1U164,COMTÉ
1BM9QVHMkakmfe6,CHABICHOU
1CMHtNVPtqYLSFt,MONT D’OR
1DQgkL6AiWTSR7G,BRIE DE MELUN
1Ek4mzaKBSDbLfP,CABECOU
1FDnwmeVnvyjlme,MOTHAIS
1FmnhcR9N5mThf6,NEUFCHATEL
1Fr0IO3wckO8pRn,MONT D’OR
1Fv6fMisFwQh3jf,CHÈVRE
1GjnlwFRUP9UdQj,RACLETTE
1HWgfu9mJ77Lv8m,MONT D’OR
1HnwGetfq7dZPDF,SAINT- FÉLICIEN
1HvtDLP88nZAIaI,VACHERIN
1I9Vs4HH0aM4PQP,MOTHAIS
1ICbOIrHxv6MMlP,PECORINO
1IFJ01Dji9B5E3s,CAMEMBERT
1IKCEkcRODkEk6T,MONT D’OR
1JcOIBnSj1dqJ39,PECORINO
1Jvdi0zm2cIte8E,BÛCHETTE DE CHÈVRE
1KdnRRdwkyJFJxI,REBLOCHON
1KgOhlyPF7qcblZ,BÛCHETTE DE CHÈVRE
1NoHXZX4EAp0bSs,MIMOLETTE
1NxsMV6ku9twkJW,CHÈVRE
1PxFJUk2gmMD6jR,MUNSTER
1QezoSfpFZ2mhGM,FETA
1SNDbEKn3ydKWSX,RACLETTE
1UHrFZ9MLTaciIV,TÊTE DE MOINES
1VnFxkOOSHNl7Ex,SAINT- FÉLICIEN
1Vtqgm3HOAsCOab,STILTON
1X3YiVuPqdZWsrE,CHEDDAR
1XHpVAgcOTfARuQ,STILTON
1XWsDzhGCRydNO4,BRIE DE MELUN
1Ye0pFeD1AhVkYC,BEAUFORT
1Z1eRm8muJy8LIy,MORBIER
1ZitmurJw4LgLKb,CHABICHOU
1ah0uOb3cKULnsB,EPOISSES
1als8dCU1kPtG09,CHÈVRE
1bZWsAabOgfwbnR,STILTON
1bz7N4htEaw8y3O,STILTON
1cS9OqcmQZtI4e1,STILTON
1eQIVpIVDJWemOY,POULIGNY SAINT- PIERRE
1efbratlx1faNqy,CHÈVRE
1fhFi4Q40ze2Pwr,MOZZARELLA
1fivFjfizZmpwH2,MONT D’OR
1hGRKESdOt6ctKO,EPOISSES
1i4IfWXEfOhabpY,PARMESAN
1ise9I6Z0L8r29a,MUNSTER
1iz02dRVI7YxViI,MORBIER
1joecdlCcoYGing,CHÈVRE
1kFVSg7BU0upqbP,CABECOU
1lLk8uZ8DILAhBz,VACHERIN
1lMOFieZuOzDvEp,MAROILLES
1li6CvHMpK7qzQi,MOTHAIS
1mNr8WkfpCZgnm1,EMMENTAL
1mskoVfkzITJEIZ,TÊTE DE MOINES
1n6iTs527Aln1mr,CABECOU
1narKnQtsoPcxf0,STILTON
1nvxvIRsbkD7YUN,MORBIER
1oxkEWXunTtjSwB,CHÈVRE
1pALJ69xSp0OHCo,VACHERIN
1pZ9HS09L8HVx9D,REBLOCHON
1qQC20zWXzDgq1T,CABECOU
1qZ3I6F5GstJDTP,MIMOLETTE
1qjMMNNXMlRpJX9,STILTON
1rBNtnBRSr8yXpN,MUNSTER
1rqXJrmz5ipCeJI,STILTON
1tGx7fuhTf5UeNl,COMTÉ
1tJpeDhSZ4ADQ4o,MOTHAIS
1tohmQBxJqHtNS0,CHABICHOU
1uLqJnts9PAhTwK,PARMESAN
1uZbUgrSTImKnMm,MOTHAIS
1uePg9OO4AIyXFA,TÊTE DE MOINES
1v4l1ogdJOGGZrW,PARMESAN
1vYoWwn3Y7i2eav,CHEDDAR
1wcMyesoel7Abbq,GRUYÈRE
1xp8SJZqHwbI8o7,MIMOLETTE
1y4vrgEUnTHEk42,CABECOU
0oO9UMvAqnNftmA,VACHERIN
1yue8xlnSgAdREl,MOTHAIS
1yvZ6dGt6qcH6eE,OSSAU- IRATY
1z8al5wLWI65g9z,POULIGNY SAINT- PIERRE
206fMohM3u1brxu,SAINT- FÉLICIEN
21ErvWn0ogiiJ5n,CAMEMBERT
21snUWXntINz2lW,RACLETTE
21znRKwNPow9Hjj,SAINT-NECTAIRE
234bWVRg38R96a3,EMMENTAL
23ggHS3Wv7sJNSl,STILTON
23zZfMY16mw92DM,STILTON
24YquWGiPAUtXSJ,SAINT-NECTAIRE
24qYHlagd5cT1Hd,MONT D’OR
25NSw7Gm94WZxgL,BEAUFORT
25TbJrdCCV1PoD9,SAINT- FÉLICIEN
2609YjKn5srIMzM,NEUFCHATEL
26AYOA8v6sfEjcb,FROMAGE FRAIS
27JN0fICsbIhntz,CHÈVRE
27cnmlcLbkA7W7h,PECORINO
27sCbBpnjtDTxgc,CHÈVRE
27vz7DuSNNR2hvE,MOTHAIS
2825l1C8JWu5dxI,EMMENTAL
28Vzzqapy5zsKTF,SCARMOZA
28YIqNHS6c5i4fR,MIMOLETTE
28qYlyn6ttTMniK,FROMAGE FRAIS
291LkayXkWqLAWj,MONT D’OR
29AsuftdBOdALJN,BEAUFORT
29PW6x4KImpBx6e,MOTHAIS
29VCO79L2WeXfeG,FOURME D'AMBERT
29VUjH8YiYjR3H5,VACHERIN
2AdyY0OK5XyzKqj,CHABICHOU
2AjJKjEjTabgk8t,CABECOU
2BIl1OltCnAZrYt,FROMAGE FRAIS
2CHhRsxA85J5bDl,MUNSTER
2CVE0HcGtolCSj0,CHÈVRE
2DAAl94vsLqNSSm,ROQUEFORT
2ERu1Yb9sjXHumI,POULIGNY SAINT- PIERRE
2EagHPCgokTdGGJ,NEUFCHATEL
2G2NYz23Twb3bab,BEAUFORT
2GOIlgcU8eAtoWC,MIMOLETTE
2GPcSPjFQQmlAA0,NEUFCHATEL
2H12JeQXBEgbqS1,MORBIER
